adaptive_v_gene	frequency	imgt_v_allele	imgt_v_gene	imgt_v_family	adaptive_v_family
TCRBV01-01	0.0019163661673676	TRBV1*01	TRBV1	TRBV1	TCRBV01
TCRBV10-03	0.016707995112546	TRBV10-3*01	TRBV10-3	TRBV10	TCRBV10
TCRBV11-02	0.0185319285389759	TRBV11-2*01	TRBV11-2	TRBV11	TCRBV11
TCRBV12-05	0.005814834368715	TRBV12-5*01	TRBV12-5	TRBV12	TCRBV12
TCRBV13-01	0.006995974438328	TRBV13*01	TRBV13	TRBV13	TCRBV13
TCRBV14-01	0.0106407325389468	TRBV14*01	TRBV14	TRBV14	TCRBV14
TCRBV15-01	0.0132677458446169	TRBV15*01	TRBV15	TRBV15	TCRBV15
TCRBV16-01	0.0007137373123429	TRBV16*01	TRBV16	TRBV16	TCRBV16
TCRBV17-01	1.4565309304932665e-05	TRBV17*01	TRBV17	TRBV17	TCRBV17
TCRBV18-01	0.023191941955657	TRBV18*01	TRBV18	TRBV18	TCRBV18
TCRBV19-01	0.044821934077633	TRBV19*01	TRBV19	TRBV19	TCRBV19
TCRBV02-01	0.0345333513318941	TRBV2*01	TRBV2	TRBV2	TCRBV02
TCRBV20-01	0.0047527248306284	TRBV20-1*01	TRBV20-1	TRBV20	TCRBV20
TCRBV21-01	0.014304118382078	TRBV21-1*01	TRBV21-1	TRBV21	TCRBV21
TCRBV23-01	0.0056240238626335	TRBV23-1*01	TRBV23-1	TRBV23	TCRBV23
TCRBV25-01	0.0102888056841466	TRBV25-1*01	TRBV25-1	TRBV25	TCRBV25
TCRBV26-01	5.387678186773562e-07	TRBV26*01	TRBV26	TRBV26	TCRBV26
TCRBV27-01	0.0378549292468426	TRBV27*01	TRBV27	TRBV27	TCRBV27
TCRBV28-01	0.0410513148603843	TRBV28*01	TRBV28	TRBV28	TCRBV28
TCRBV29-01	0.0247894690435715	TRBV29-1*01	TRBV29-1	TRBV29	TCRBV29
TCRBV03-01	4.708335316556252e-05	TRBV3-1*01	TRBV3-1	TRBV3	TCRBV03
TCRBV30-01	0.0274623147702305	TRBV30*01	TRBV30	TRBV30	TCRBV30
TCRBV04-01	0.0218928736610892	TRBV4-1*01	TRBV4-1	TRBV4	TCRBV04
TCRBV05-01	0.0593668383255249	TRBV5-1*01	TRBV5-1	TRBV5	TCRBV05
TCRBV06-05	0.0369222911890443	TRBV6-5*01	TRBV6-5	TRBV6	TCRBV06
TCRBV07-09	0.041093122004567	TRBV7-9*01	TRBV7-9	TRBV7	TCRBV07
TCRBV09-01	0.0351813156212236	TRBV9*01	TRBV9	TRBV9	TCRBV09
